MaHang;TenHang;DonViTinh;DonGia
1;Polévka pekingská;ks;35
2;Polévka kachní s houbami;ks;45
3;Polévka krémová kuřecí;ks;40
4;Polévka pikantní krevety;ks;50
5;Pho bo;ks;140
6;Pho ga;ks;130
8;Pekingská kuřecí maso se zeleninou s rýží nebo s nudlemi;ks;120
9;Křupavé kuřecí stehno s rýží nebo nudlemi;ks;120
10;Smažené obalované kuřecí prsa, rýže, nebo nudlemi;ks;120
11;Smažené kuřecí po thajsku, pikantní omáčka, rýže, nebo nudle;ks;120
12;Pečené nudle s kuřecím masem, vejcem a zeleninou;ks;100
13;Pečené nudle s vepřovým masem, vejcem a zeleninou;ks;100
14;Pečené nudle s hovězím masem, vejcem a zeleninou;ks;120
15;Pečené nudle se třemi druhy masa, vejcem a zeleninou;ks;120
16;Pečené nudle s krevetami, vejcem a zeleninou;ks;135
17;Pečené tenké rýžové nudle s kuřecím masem, vejcem a zeleninou;ks;110
18;Pečené tenké rýžové nudle s vepřovým masem, vejcem a zeleninou;ks;110
19;Pečené tenké rýžové nudle s hovězím masem, vejcem a zeleninou;ks;135
20;Pečené tenké rýžové nudle se třemi druhy masa, vejcem a zeleninou;ks;135
21;Pečené tenké rýžové nudle s krevetami, vejcem a zeleninou;ks;140
22;Pečené hrubé rýžové nudle s kuřecím masem, vejcem a zeleninou;ks;110
23;Pečené hrubé rýžové nudle s vepřovým masem, vejcem a zeleninou;ks;110
24;Pečené hrubé rýžové nudle s hovězím masem, vejcem a zeleninou;ks;135
25;Pečené hrubé rýžové nudle se třemi druhy masa, vejcem a zeleninou;ks;135
26;Smažené skleněné nudle s kuřecím masem, vejcem a zeleninou;ks;105
27;Smažené skleněné nudle s vepřovým masem, vejcem a zeleninou;ks;105
28;Smažené skleněné nudle s hovězím masem, vejcem a zeleninou;ks;130
29;Smažené skleněné nudle se třemi druhy masa, vejcem a zeleninou;ks;130
30;Kuřecí rizoto vejce a zelenina;ks;100
31;Vepřové rizoto vejce a zelenina;ks;100
32;Rizoto se třemi druhy masa, vejcem a zeleninou;ks;120
33;Rizoto s krevetami, vejcem a zeleninou;ks;135
34;Kuřecí kung pao;ks;80
35;Kuřecí maso bambus a zelenina;ks;80
